Company Name,Company Location,Ratting,Reviews,Company Type,Reason For Review
Kaizen IT Services,Kolkata +87 other locations,4.1,(582),IT Services & Consulting,"Work Life Balance, Company Culture, Work Satisfaction"
Einfochips,Ahmedabad +13 other locations,3.5,(582),IT Services & Consulting,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Varthana,Bangalore / Bengaluru +79 other locations,3.9,(582),NBFC,"Work Life Balance, Company Culture, Salary & Benefits"
UKB Electronics Limited,Noida +22 other locations,3.7,(583),Electronics Manufacturing,"Company Culture, Work Satisfaction, Job Security"
CSM Technologies,Bhubaneswar +22 other locations,4.1,(582),IT Services & Consulting,"Job Security, Work Life Balance, Work Satisfaction"
Impetus Technologies,Indore +14 other locations,3.4,(582),IT Services & Consulting,"Work Satisfaction, Promotions / Appraisal, Work Life Balance"
Kellogg,Mumbai +85 other locations,4.2,(582),FMCG,"Company Culture, Work Life Balance, Job Security"
Ongc Petro Additions,Bharuch +30 other locations,3.9,(582),Petrochemicals,"Job Security, Work Life Balance, Work Satisfaction"
Holiday Inn,New Delhi +57 other locations,4.0,(581),Hospitality,"Job Security, Skill Development / Learning, Company Culture"
South Indian Bank,Kochi +79 other locations,3.3,(581),Banking,"Job Security, Salary & Benefits"
Sintex Industries,Ahmedabad +57 other locations,4.0,(580),Industrial Machinery,"Job Security, Work Life Balance, Work Satisfaction"
Gainwell Commosales,Kolkata +75 other locations,4.1,(580),Industrial Machinery,"Job Security, Company Culture, Skill Development / Learning"
Reliance Jewels,Mumbai +130 other locations,3.9,(581),Jewellery,"Company Culture, Job Security, Skill Development / Learning"
Micromax Informatics,New Delhi +118 other locations,3.7,(579),Consumer Electronics & Appliances,"Job Security, Promotions / Appraisal, Company Culture"
Becton Dickinson,Bangalore / Bengaluru +36 other locations,4.0,(579),Medical Equipment,"Company Culture, Work Life Balance, Job Security"
Renovision Automation Services,New Delhi +70 other locations,3.4,(579),IT Services & Consulting,"Promotions / Appraisal, Salary & Benefits, Job Security"
Pyramid IT Consulting,Noida +23 other locations,3.0,(578),Recruitment,"Promotions / Appraisal, Job Security, Work Satisfaction"
Godrej Industries,Mumbai +65 other locations,4.1,(578),Chemicals,"Job Security, Work Life Balance, Company Culture"
HDFC Asset Management Company,,4.0,(578),Mumbai +135 other locations,"Job Security, Work Life Balance, Skill Development / Learning"
Fiem Industries,Hosur +27 other locations,3.6,(578),Auto Components,Salary & Benefits
TransUnion,Chennai +9 other locations,3.9,(577),FinTech,"Company Culture, Work Life Balance, Salary & Benefits"
ITC Limited Foods Division,Bangalore / Bengaluru +75 other locations,3.9,(577),Food Processing,Job Security
