Company Name,Company Location,Ratting,Reviews,Company Type,Reason For Review
TCS,Bangalore / Bengaluru +430 other locations,3.4,(1.1L),IT Services & Consulting,Job Security
Accenture,Bangalore / Bengaluru +245 other locations,3.7,(67.8k),IT Services & Consulting,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Wipro,Bangalore / Bengaluru +366 other locations,3.7,(60.8k),IT Services & Consulting,Job Security
Cognizant,Hyderabad / Secunderabad +224 other locations,3.7,(57.7k),IT Services & Consulting,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Capgemini,Bangalore / Bengaluru +180 other locations,3.7,(49.5k),IT Services & Consulting,"Work Life Balance, Job Security"
HDFC Bank,Mumbai +1778 other locations,3.8,(47.8k),Banking,"Job Security, Skill Development / Learning"
Infosys,Bangalore / Bengaluru +238 other locations,3.5,(45.5k),IT Services & Consulting,Job Security
ICICI Bank,Mumbai +1416 other locations,4.0,(43.5k),Banking,"Job Security, Skill Development / Learning, Company Culture"
HCLTech,Chennai +223 other locations,3.4,(42.5k),IT Services & Consulting,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Tech Mahindra,Hyderabad / Secunderabad +329 other locations,3.4,(40.7k),IT Services & Consulting,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Genpact,Hyderabad / Secunderabad +172 other locations,3.6,(38.9k),IT Services & Consulting,Job Security
Teleperformance,Mumbai +251 other locations,3.8,(34.9k),BPO,Job Security
Axis Bank,Mumbai +1478 other locations,3.7,(30.8k),Banking,"Work Satisfaction, Promotions / Appraisal, Company Culture"
Concentrix Corporation,Bangalore / Bengaluru +174 other locations,3.6,(30.3k),BPO,Job Security
Jio,Mumbai +1781 other locations,4.3,(29.5k),Telecom,"Job Security, Skill Development / Learning, Company Culture"
Amazon,Bangalore / Bengaluru +510 other locations,4.0,(29.3k),Internet,"Company Culture, Work Life Balance, Salary & Benefits"
iEnergizer,Noida +49 other locations,4.6,(26.8k),BPO,"Company Culture, Work Life Balance, Work Satisfaction"
Reliance Retail,Mumbai +1126 other locations,3.9,(25.9k),Retail,"Skill Development / Learning, Work Life Balance, Job Security"
IBM,Bangalore / Bengaluru +159 other locations,3.9,(24.6k),IT Services & Consulting,"Work Life Balance, Company Culture, Job Security"
LTIMindtree,Bangalore / Bengaluru +138 other locations,3.6,(24.2k),IT Services & Consulting,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
HDB Financial Services,Mumbai +1066 other locations,3.9,(24k),NBFC,"Job Security, Skill Development / Learning"
Larsen & Toubro Limited,Chennai +736 other locations,3.9,(22.1k),Engineering & Construction,"Job Security, Skill Development / Learning"
Deloitte,Hyderabad / Secunderabad +179 other locations,3.7,(21.3k),Management Consulting,Job Security
Kotak Mahindra Bank,Mumbai +673 other locations,3.6,(20.8k),Banking,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Reliance Industries,Jamnagar +796 other locations,4.0,(18.9k),Oil & Gas,"Job Security, Skill Development / Learning, Work Life Balance"
Vodafone Idea,Pune +694 other locations,4.0,(16.9k),Telecom,"Company Culture, Work Life Balance, Salary & Benefits"
BYJU'S,Bangalore / Bengaluru +322 other locations,3.1,(16.6k),EdTech,"Job Security, Work Life Balance, Company Culture"
Bharti Airtel,Gurgaon / Gurugram +775 other locations,3.9,(16.1k),Telecom,Skill Development / Learning
WNS,Pune +60 other locations,3.3,(14.1k),BPO,"Promotions / Appraisal, Salary & Benefits, Company Culture"
AU Small Finance Bank,Jaipur +756 other locations,4.1,(13.4k),Banking,"Work Life Balance, Job Security, Skill Development / Learning"
Tata Motors,Pune +497 other locations,4.1,(13.4k),Automobile,"Job Security, Company Culture, Work Life Balance"
IndusInd Bank,Mumbai +780 other locations,3.4,(13.2k),Banking,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Ernst & Young,Bangalore / Bengaluru +127 other locations,3.4,(13.1k),Management Consulting,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
IDFC FIRST Bank,Mumbai +701 other locations,3.9,(13k),Banking,"Salary & Benefits, Skill Development / Learning"
Flipkart,Bangalore / Bengaluru +549 other locations,3.9,(12.1k),Internet,"Company Culture, Skill Development / Learning"
Bajaj Finserv,Pune +1118 other locations,4.0,(11.7k),Financial Services,"Salary & Benefits, Skill Development / Learning, Job Security"
DXC Technology,Bangalore / Bengaluru +133 other locations,3.6,(11.4k),IT Services & Consulting,Work Life Balance
PwC,Bangalore / Bengaluru +127 other locations,3.3,(11.4k),Management Consulting,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
Infosys BPM,Bangalore / Bengaluru +90 other locations,3.5,(11.3k),BPO,Job Security
Mahindra & Mahindra,Pune +548 other locations,4.1,(11.3k),Automobile,"Job Security, Skill Development / Learning, Company Culture"
HDFC Life,Mumbai +679 other locations,3.9,(11.1k),Insurance,"Skill Development / Learning, Work Life Balance, Job Security"
Bandhan Bank,Kolkata +963 other locations,3.7,(9.9k),Banking,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
Conneqt Business Solutions,Hyderabad / Secunderabad +259 other locations,3.5,(9.8k),BPO,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Muthoot Fincorp,Bangalore / Bengaluru +1001 other locations,4.5,(10.1k),NBFC,"Company Culture, Work Life Balance, Job Security"
Mphasis,Bangalore / Bengaluru +61 other locations,3.3,(9.7k),IT Services & Consulting,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Yes Bank,Mumbai +529 other locations,3.7,(9.4k),Banking,"Job Security, Promotions / Appraisal, Company Culture"
Tata Steel,Jamshedpur +223 other locations,4.0,(9.2k),Iron & Steel,"Work Life Balance, Job Security, Company Culture"
Quess,Bangalore / Bengaluru +709 other locations,3.8,(8.9k),IT Services & Consulting,"Promotions / Appraisal, Job Security"
Startek,Bangalore / Bengaluru +102 other locations,3.1,(8.9k),BPO,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Asian Paints,Mumbai +531 other locations,3.9,(8.7k),Chemicals,"Salary & Benefits, Skill Development / Learning"
Paytm,Noida +400 other locations,3.2,(8.7k),FinTech,"Job Security, Promotions / Appraisal, Company Culture"
UltraTech Cement,Mumbai +525 other locations,4.1,(8.6k),Building Material,"Job Security, Skill Development / Learning, Company Culture"
Shriram Finance,Chennai +1080 other locations,4.0,(8.5k),NBFC,"Job Security, Company Culture, Work Life Balance"
Maruti Suzuki,Gurgaon / Gurugram +434 other locations,4.2,(8.4k),Automobile,"Job Security, Salary & Benefits, Company Culture"
Bajaj Finance,Pune +929 other locations,3.9,(8.3k),NBFC,"Salary & Benefits, Skill Development / Learning, Job Security"
Sutherland Global Services,Chennai +76 other locations,3.4,(8.3k),BPO,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
EXL Service,Noida +60 other locations,3.6,(8.1k),IT Services & Consulting,Job Security
Samsung,Noida +565 other locations,3.9,(8.1k),Consumer Electronics & Appliances,Salary & Benefits
Ericsson,Bangalore / Bengaluru +161 other locations,4.0,(8.1k),Telecom,"Company Culture, Work Life Balance"
Cipla,Mumbai +286 other locations,4.1,(8k),Pharma,"Salary & Benefits, Work Life Balance, Skill Development / Learning"
Wells Fargo,Bangalore / Bengaluru +28 other locations,3.7,(7.8k),Financial Services,Work Life Balance
Dr. Reddy's,Hyderabad / Secunderabad +208 other locations,4.0,(7.7k),Pharma,"Skill Development / Learning, Work Life Balance, Salary & Benefits"
HGS,Bangalore / Bengaluru +119 other locations,3.7,(7.4k),BPO,Job Security
Optum Global Solutions,Hyderabad / Secunderabad +63 other locations,4.0,(7.4k),IT Services & Consulting,"Job Security, Company Culture, Work Life Balance"
ICICI Prudential Life Insurance,Mumbai +499 other locations,4.0,(7.3k),Insurance,"Job Security, Skill Development / Learning, Salary & Benefits"
Amazon Development Centre India,Hyderabad / Secunderabad +146 other locations,3.9,(7.2k),Internet,"Company Culture, Work Life Balance"
Delhivery,Gurgaon / Gurugram +727 other locations,3.8,(7.2k),Logistics,Promotions / Appraisal
JPMorgan Chase & Co.,Bangalore / Bengaluru +54 other locations,3.9,(7.2k),Financial Services,"Job Security, Salary & Benefits"
Jana Small Finance Bank,Bangalore / Bengaluru +408 other locations,3.8,(7.2k),Banking,Salary & Benefits
Sun Pharmaceutical Industries,Vadodara +259 other locations,4.1,(7.1k),Pharma,"Skill Development / Learning, Salary & Benefits, Job Security"
JSW Steel,Ballari +185 other locations,3.9,(7.1k),Iron & Steel,"Job Security, Skill Development / Learning"
Hexaware Technologies,Chennai +67 other locations,3.5,(7.1k),IT Services & Consulting,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
L&T Construction,Chennai +420 other locations,4.0,(7k),Engineering & Construction,"Job Security, Skill Development / Learning, Salary & Benefits"
Lupin,Pune +198 other locations,4.1,(6.9k),Pharma,"Skill Development / Learning, Company Culture, Work Life Balance"
Zydus Lifesciences,Ahmedabad +172 other locations,4.0,(6.9k),Pharma,"Salary & Benefits, Skill Development / Learning"
Hindustan Unilever,Mumbai +516 other locations,4.2,(6.9k),FMCG,"Skill Development / Learning, Company Culture, Work Life Balance"
Equitas Small Finance Bank,Chennai +444 other locations,4.3,(6.8k),Banking,"Company Culture, Work Life Balance, Job Security"
KPMG India,Bangalore / Bengaluru +106 other locations,3.4,(6.7k),Management Consulting,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
ITC,Bangalore / Bengaluru +368 other locations,3.9,(6.7k),FMCG,"Job Security, Skill Development / Learning"
Ekart Logistics,,3.9,(6.7k),Bangalore / Bengaluru +715 other locations,Skill Development / Learning
Axis Max Life Insurance,New Delhi +482 other locations,4.0,(6.6k),Insurance,"Skill Development / Learning, Company Culture, Work Life Balance"
Ujjivan Small Finance Bank,Bangalore / Bengaluru +516 other locations,4.0,(6.6k),Banking,"Company Culture, Work Life Balance, Job Security"
Megha Engineering & Infrastructures,Hyderabad / Secunderabad +394 other locations,3.9,(6.3k),Engineering & Construction,Work Life Balance
Tata Projects,Mumbai +275 other locations,4.2,(6.3k),Engineering & Construction,"Job Security, Salary & Benefits, Company Culture"
FIS,Pune +60 other locations,3.9,(6.2k),FinTech,"Work Life Balance, Company Culture"
L&T Technology Services,Bangalore / Bengaluru +94 other locations,3.1,(6.1k),IT Services & Consulting,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Coforge,Noida +105 other locations,3.2,(6k),IT Services & Consulting,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
IIFL Finance,Mumbai +786 other locations,4.0,(6k),NBFC,"Work Life Balance, Company Culture, Job Security"
Bajaj Life Insurance,Pune +594 other locations,3.9,(6k),Insurance,Salary & Benefits
Oracle,Bangalore / Bengaluru +56 other locations,3.5,(6k),Software Product,Work Life Balance
Indian Army,New Delhi +358 other locations,4.7,(6k),Defence & Aerospace,"Job Security, Company Culture, Work Life Balance"
HCL Group,Chennai +96 other locations,3.5,(6k),IT Services & Consulting,Job Security
JLL,Gurgaon / Gurugram +83 other locations,4.1,(5.9k),Real Estate,"Job Security, Company Culture, Work Life Balance"
Omega Healthcare,Chennai +67 other locations,3.7,(5.9k),BPO,"Promotions / Appraisal, Salary & Benefits"
Muthoot Finance,Bangalore / Bengaluru +754 other locations,3.6,(5.9k),NBFC,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
Cholamandalam Investment & Finance,Chennai +803 other locations,3.8,(5.8k),Financial Services,Salary & Benefits
eClerx,Pune +31 other locations,3.1,(5.8k),IT Services & Consulting,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Virtusa Consulting Services,Hyderabad / Secunderabad +53 other locations,3.7,(5.7k),IT Services & Consulting,"Promotions / Appraisal, Work Satisfaction, Job Security"
Udaan,Bangalore / Bengaluru +367 other locations,4.0,(5.7k),Internet,"Salary & Benefits, Work Life Balance, Skill Development / Learning"
HSBC Group,Bangalore / Bengaluru +63 other locations,3.9,(5.6k),Financial Services,"Job Security, Company Culture, Work Life Balance"
Indiamart Intermesh,Noida +168 other locations,3.6,(5.6k),Internet,"Work Satisfaction, Promotions / Appraisal, Company Culture"
DMart,Mumbai +242 other locations,3.9,(5.6k),Retail,"Job Security, Company Culture"
Aurobindo Pharma,Hyderabad / Secunderabad +114 other locations,4.0,(5.5k),Pharma,"Job Security, Salary & Benefits, Work Life Balance"
Siemens,Bangalore / Bengaluru +150 other locations,4.0,(5.4k),Industrial Automation,"Work Life Balance, Company Culture, Job Security"
Shapoorji Pallonji Group,Mumbai +187 other locations,4.1,(5.4k),Engineering & Construction,"Job Security, Company Culture, Work Life Balance"
SMFG India Credit,Mumbai +576 other locations,3.9,(5.4k),NBFC,Salary & Benefits
Standard Chartered,Chennai +68 other locations,3.6,(5.4k),Banking,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
BigBasket,Bangalore / Bengaluru +136 other locations,3.9,(5.4k),Internet,"Job Security, Skill Development / Learning"
CGI Group,Bangalore / Bengaluru +43 other locations,4.0,(5.4k),IT Services & Consulting,"Work Life Balance, Company Culture, Job Security"
ICICI Lombard General Insurance Company,Mumbai +304 other locations,3.6,(5.4k),Insurance,"Promotions / Appraisal, Work Satisfaction, Company Culture"
GlobalLogic,Hyderabad / Secunderabad +59 other locations,3.5,(5.4k),IT Services & Consulting,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Access Healthcare,Chennai +58 other locations,3.7,(5.4k),Healthcare,Job Security
Firstsource Solutions,Bangalore / Bengaluru +69 other locations,3.5,(5.4k),BPO,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Manappuram Finance,Bangalore / Bengaluru +622 other locations,3.9,(5.3k),NBFC,"Work Life Balance, Promotions / Appraisal, Skill Development / Learning"
Apollo Hospitals,Chennai +226 other locations,4.0,(5.3k),Healthcare,"Job Security, Company Culture, Skill Development / Learning"
Mahindra Finance,Mumbai +714 other locations,3.9,(5.3k),NBFC,Work Life Balance
Bosch Global Software Technologies,Bangalore / Bengaluru +47 other locations,3.8,(5.3k),IT Services & Consulting,"Work Life Balance, Job Security, Company Culture"
UST,Bangalore / Bengaluru +49 other locations,3.7,(5.2k),IT Services & Consulting,Work Life Balance
Ashok Leyland,Chennai +244 other locations,4.0,(5.2k),Automobile,"Work Life Balance, Skill Development / Learning, Company Culture"
Citicorp,Pune +67 other locations,3.7,(5.2k),Financial Services,Salary & Benefits
Cyient,Hyderabad / Secunderabad +44 other locations,3.6,(5.1k),IT Services & Consulting,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
PolicyBazaar,Gurgaon / Gurugram +133 other locations,3.7,(5.1k),Internet,Salary & Benefits
Hero MotoCorp,Gurgaon / Gurugram +359 other locations,4.1,(5.1k),Automobile,"Company Culture, Work Life Balance, Work Satisfaction"
Swiggy,Bangalore / Bengaluru +226 other locations,3.7,(5k),Internet,"Job Security, Promotions / Appraisal, Work Satisfaction"
JustDial,Noida +220 other locations,3.5,(4.9k),Internet,"Promotions / Appraisal, Work Satisfaction, Job Security"
SBI Cards & Payment Services,Gurgaon / Gurugram +427 other locations,3.6,(4.9k),Financial Services,"Promotions / Appraisal, Work Satisfaction, Company Culture"
Kalpataru Projects International,Mumbai +306 other locations,4.1,(4.9k),Engineering & Construction,"Job Security, Skill Development / Learning, Salary & Benefits"
BNY,Pune +25 other locations,3.7,(4.9k),Financial Services,"Company Culture, Work Life Balance"
IQVIA,Bangalore / Bengaluru +62 other locations,3.7,(4.8k),Clinical Research,"Work Life Balance, Job Security"
CBRE,Hyderabad / Secunderabad +91 other locations,4.1,(4.8k),Real Estate,"Company Culture, Work Life Balance, Job Security"
TVS Motor,Hosur +336 other locations,3.9,(4.8k),Automobile,"Skill Development / Learning, Salary & Benefits, Job Security"
SBI Life Insurance Company,Mumbai +637 other locations,3.7,(4.8k),Insurance,Job Security
vivo,Noida +410 other locations,4.1,(4.7k),Consumer Electronics & Appliances,"Skill Development / Learning, Company Culture, Work Life Balance"
NTT Data,Bangalore / Bengaluru +77 other locations,3.8,(4.7k),IT Services & Consulting,Work Life Balance
Persistent Systems,Pune +42 other locations,3.6,(4.7k),IT Services & Consulting,"Promotions / Appraisal, Job Security, Work Satisfaction"
Eviden,Pune +37 other locations,3.6,(4.7k),IT Services & Consulting,Work Life Balance
Atos,Pune +49 other locations,3.8,(4.7k),IT Services & Consulting,Work Life Balance
Nagarjuna Construction Company,Hyderabad / Secunderabad +281 other locations,4.1,(4.7k),Engineering & Construction,"Job Security, Skill Development / Learning, Salary & Benefits"
State Bank of India,Mumbai +598 other locations,3.8,(4.7k),Banking,"Job Security, Skill Development / Learning, Salary & Benefits"
Schneider Electric,Bangalore / Bengaluru +117 other locations,4.1,(4.6k),Industrial Automation,"Company Culture, Work Life Balance, Job Security"
Ecom Express,Gurgaon / Gurugram +754 other locations,4.0,(4.6k),Logistics,"Work Life Balance, Company Culture, Work Satisfaction"
Nagarro,Gurgaon / Gurugram +48 other locations,3.9,(4.6k),IT Services & Consulting,"Company Culture, Work Life Balance"
Amdocs,Pune +22 other locations,3.7,(4.6k),Software Product,Company Culture
Home Credit Finance,Gurgaon / Gurugram +134 other locations,4.0,(4.5k),NBFC,"Work Life Balance, Company Culture, Skill Development / Learning"
JBM Group,Gurgaon / Gurugram +109 other locations,3.9,(4.5k),Auto Components,"Job Security, Skill Development / Learning"
KEC International,Mumbai +307 other locations,4.0,(4.5k),Engineering & Construction,"Job Security, Salary & Benefits, Company Culture"
Piramal Capital Housing Finance,Mumbai +378 other locations,4.2,(4.4k),NBFC,"Company Culture, Skill Development / Learning, Salary & Benefits"
Varun Beverages,New Delhi +366 other locations,4.0,(4.4k),Beverage,"Job Security, Work Life Balance, Skill Development / Learning"
Bosch,Bangalore / Bengaluru +122 other locations,4.2,(4.4k),Auto Components,"Company Culture, Work Life Balance, Skill Development / Learning"
Hewlett Packard Enterprise,Bangalore / Bengaluru +103 other locations,4.1,(4.4k),IT Services & Consulting,"Company Culture, Work Life Balance, Work Satisfaction"
EY Global Delivery Services ( EY GDS),Bangalore / Bengaluru +54 other locations,3.5,(4.3k),Accounting & Auditing,Job Security
OPPO,Greater Noida +398 other locations,3.9,(4.3k),Consumer Electronics & Appliances,Skill Development / Learning
Mahindra Logistics,Mumbai +231 other locations,3.7,(4.3k),Logistics,"Promotions / Appraisal, Salary & Benefits"
Dell,Bangalore / Bengaluru +116 other locations,3.8,(4.3k),Consumer Electronics & Appliances,"Work Life Balance, Company Culture"
ITC Infotech,Bangalore / Bengaluru +66 other locations,3.7,(4.3k),IT Services & Consulting,Work Life Balance
Aditya Birla Fashion and Retail,Bangalore / Bengaluru +282 other locations,4.1,(4.3k),Fashion & Textile,"Job Security, Skill Development / Learning, Company Culture"
L&T Finance,Mumbai +607 other locations,3.9,(4.2k),NBFC,Salary & Benefits
Randstad,Hyderabad / Secunderabad +339 other locations,3.7,(4.2k),Recruitment,"Promotions / Appraisal, Job Security, Work Satisfaction"
CARS24,Gurgaon / Gurugram +171 other locations,3.5,(4.2k),Internet,"Job Security, Promotions / Appraisal, Company Culture"
R1 RCM,New Delhi +45 other locations,3.8,(4.2k),BPO,Job Security
Intas Pharmaceuticals,Ahmedabad +144 other locations,4.1,(4.2k),Pharma,"Job Security, Salary & Benefits, Work Life Balance"
Hyundai Motor India Limited,Chennai +282 other locations,4.2,(4.2k),Automobile,"Job Security, Salary & Benefits, Company Culture"
Havells,Noida +245 other locations,3.9,(4.2k),Electrical Equipment,"Work Life Balance, Salary & Benefits"
Deutsche Bank,Pune +42 other locations,3.9,(4.1k),Banking,"Work Life Balance, Job Security, Company Culture"
Utkarsh Small Finance Bank,Varanasi +387 other locations,3.7,(4.1k),Banking,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Tata AIA Life Insurance,Mumbai +422 other locations,3.9,(4.1k),Insurance,"Job Security, Skill Development / Learning, Salary & Benefits"
Hetero,Hyderabad / Secunderabad +64 other locations,3.8,(4.1k),Pharma,Job Security
Motilal Oswal Financial Services,Mumbai +164 other locations,3.7,(4.1k),Financial Services,Skill Development / Learning
Team Lease,Bangalore / Bengaluru +386 other locations,3.9,(4k),Recruitment,Work Life Balance
Bajaj Auto,Pune +308 other locations,3.8,(4k),Automobile,Promotions / Appraisal
Lenskart,New Delhi +231 other locations,3.2,(3.9k),Internet,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Thermax Limited,Pune +240 other locations,4.2,(3.9k),Industrial Machinery,"Job Security, Company Culture, Work Life Balance"
Berger Paints,Kolkata +334 other locations,3.7,(3.9k),Chemicals,"Promotions / Appraisal, Company Culture, Work Life Balance"
Macleods Pharmaceuticals,Mumbai +127 other locations,3.6,(3.9k),Pharma,Job Security
LG Electronics,Pune +290 other locations,3.9,(3.9k),Consumer Electronics & Appliances,"Job Security, Skill Development / Learning"
Aakash Educational Services,New Delhi +240 other locations,3.2,(3.9k),Education & Training,"Promotions / Appraisal, Work Life Balance, Job Security"
Tata Communications,Pune +98 other locations,3.9,(3.9k),Telecom,"Work Life Balance, Job Security, Company Culture"
Royal Enfield,Chennai +364 other locations,4.2,(3.8k),Automobile,"Work Life Balance, Skill Development / Learning, Company Culture"
Jubilant Foods Works,New Delhi +251 other locations,3.7,(3.8k),Hospitality,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
VE Commercial Vehicles,Indore +151 other locations,3.9,(3.8k),Automobile,"Job Security, Skill Development / Learning"
John Deere,Pune +149 other locations,4.0,(3.8k),Industrial Machinery,"Company Culture, Work Life Balance, Skill Development / Learning"
HDFC Ergo General Insurance,Mumbai +317 other locations,3.9,(3.8k),Insurance,"Company Culture, Work Life Balance, Job Security"
Oyo Rooms,Gurgaon / Gurugram +119 other locations,3.1,(3.8k),Internet,"Job Security, Company Culture, Work Satisfaction"
Jindal Steel Limited,Angul +170 other locations,3.9,(3.8k),Iron & Steel,Skill Development / Learning
DCB Bank,Mumbai +335 other locations,3.8,(3.8k),Banking,Work Life Balance
Hindalco Industries,Sambalpur +122 other locations,4.2,(3.7k),Metals & Mining,"Job Security, Work Life Balance, Skill Development / Learning"
Reliance Communications,Mumbai +464 other locations,4.0,(3.7k),Telecom,"Work Life Balance, Skill Development / Learning, Company Culture"
Cummins,Pune +111 other locations,4.3,(3.7k),Industrial Machinery,"Company Culture, Work Life Balance, Skill Development / Learning"
State Street Corporation,Bangalore / Bengaluru +33 other locations,3.6,(3.7k),Financial Services,"Promotions / Appraisal, Company Culture, Work Satisfaction"
RBL Bank,Mumbai +273 other locations,3.5,(3.7k),Banking,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Carelon Global Solutions,Bangalore / Bengaluru +18 other locations,3.8,(3.7k),Software Product,"Company Culture, Work Life Balance, Job Security"
XpressBees,Pune +468 other locations,4.2,(3.7k),Internet,"Work Life Balance, Company Culture, Work Satisfaction"
Bank of America,Gurgaon / Gurugram +34 other locations,4.2,(3.7k),Banking,"Job Security, Work Life Balance, Company Culture"
PVR Inox,New Delhi +150 other locations,3.9,(3.6k),Media & Entertainment,Promotions / Appraisal
Publicis Sapient,Bangalore / Bengaluru +44 other locations,3.4,(3.6k),IT Services & Consulting,"Promotions / Appraisal, Job Security, Work Satisfaction"
Alembic Pharmaceuticals,Vadodara +183 other locations,3.9,(3.6k),Pharma,"Salary & Benefits, Work Life Balance"
Subros,Noida +87 other locations,3.8,(3.6k),Auto Components,"Job Security, Skill Development / Learning, Company Culture"
American Express,Gurgaon / Gurugram +51 other locations,4.1,(3.6k),Financial Services,"Company Culture, Work Life Balance, Job Security"
Viatris,Hyderabad / Secunderabad +80 other locations,4.1,(3.6k),Pharma,"Salary & Benefits, Job Security, Work Life Balance"
Pidilite Industries,Mumbai +294 other locations,4.2,(3.6k),Chemicals,"Job Security, Work Life Balance, Company Culture"
Kogta Financial India Limited,Jaipur +245 other locations,4.7,(3.6k),NBFC,"Company Culture, Work Life Balance, Work Satisfaction"
Automatic Data Processing (ADP),Hyderabad / Secunderabad +39 other locations,3.9,(3.6k),Software Product,"Job Security, Company Culture, Work Life Balance"
Escorts Kubota Limited,Faridabad +149 other locations,4.1,(3.5k),Automobile,"Work Life Balance, Company Culture, Skill Development / Learning"
Sodexo,Mumbai +154 other locations,4.0,(3.5k),Facility Management Services,"Company Culture, Work Life Balance, Skill Development / Learning"
PNB MetLife,New Delhi +410 other locations,3.4,(3.5k),Insurance,"Company Culture, Work Satisfaction, Job Security"
Maersk,Chennai +48 other locations,4.0,(3.5k),Logistics,"Company Culture, Work Life Balance"
Aditya Birla Sun Life Insurance,Mumbai +473 other locations,4.0,(3.5k),Insurance,"Work Life Balance, Company Culture, Job Security"
Samvardhana Motherson Group,Noida +91 other locations,3.7,(3.5k),Auto Components,Job Security
Godrej & Boyce Manufacturing,Mumbai +158 other locations,3.9,(3.5k),Consumer Electronics & Appliances,Job Security
Dabur,New Delhi +311 other locations,3.9,(3.5k),FMCG,Salary & Benefits
Abbott,Mumbai +209 other locations,4.1,(3.5k),Pharma,"Company Culture, Work Life Balance, Skill Development / Learning"
Synechron,Pune +31 other locations,3.5,(3.5k),IT Services & Consulting,"Job Security, Promotions / Appraisal, Work Satisfaction"
Birlasoft,Pune +48 other locations,3.5,(3.5k),IT Services & Consulting,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
Cogent E Services,Noida +55 other locations,3.2,(3.5k),BPO,"Company Culture, Work Satisfaction, Promotions / Appraisal"
Bharat Electronics,Bangalore / Bengaluru +86 other locations,4.2,(3.5k),Electronics Manufacturing,"Work Life Balance, Company Culture, Work Satisfaction"
Kyndryl,Bangalore / Bengaluru +36 other locations,3.9,(3.4k),IT Services & Consulting,"Work Life Balance, Company Culture, Skill Development / Learning"
Grasim Industries,Bharuch +230 other locations,4.0,(3.4k),Building Material,"Job Security, Skill Development / Learning, Work Life Balance"
Glenmark Pharmaceuticals,Mumbai +173 other locations,3.8,(3.4k),Pharma,Promotions / Appraisal
Kotak Mahindara Life Insurance,Mumbai +248 other locations,3.5,(3.4k),Insurance,"Promotions / Appraisal, Work Satisfaction, Company Culture"
Tata Capital,Mumbai +329 other locations,4.0,(3.4k),NBFC,"Job Security, Skill Development / Learning, Company Culture"
Aarti Industries,Bharuch +57 other locations,4.0,(3.4k),Agro Chemicals,"Job Security, Work Life Balance, Company Culture"
JK Cement,New Delhi +314 other locations,4.0,(3.4k),Building Material,"Salary & Benefits, Work Life Balance"
Indian Oil Corporation,New Delhi +302 other locations,4.4,(3.4k),Oil & Gas,"Company Culture, Work Life Balance, Job Security"
KPIT Technologies,Pune +42 other locations,3.0,(3.4k),Software Product,"Promotions / Appraisal, Job Security, Work Satisfaction"
Ipca Laboratories,Mumbai +154 other locations,3.9,(3.4k),Pharma,"Job Security, Work Life Balance"
Reliance Projects & Property Management Services,Kolkata +598 other locations,4.0,(3.4k),IT Services & Consulting,"Work Life Balance, Job Security, Skill Development / Learning"
"NTT DATA, Inc.",Bangalore / Bengaluru +32 other locations,3.9,(3.3k),IT Services & Consulting,"Work Life Balance, Job Security, Company Culture"
Johnson Controls,Pune +54 other locations,3.5,(3.3k),Industrial Automation,"Promotions / Appraisal, Work Satisfaction, Job Security"
Alkem Laboratories,Mumbai +192 other locations,3.9,(3.3k),Pharma,Salary & Benefits
MRF Tyres,Chennai +191 other locations,3.6,(3.3k),Auto Components,"Company Culture, Work Satisfaction, Work Life Balance"
Reliance Digital,Mumbai +369 other locations,4.1,(3.3k),Retail,"Skill Development / Learning, Job Security, Company Culture"
Ford Motor,Chennai +128 other locations,4.2,(3.3k),Automobile,"Company Culture, Work Life Balance, Salary & Benefits"
IGT Solutions,New Delhi +48 other locations,3.3,(3.3k),IT Services & Consulting,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
